[ 2026-01-21 18:03:20,278 ] 20 root - INFO - Initiate the data ingestion
[ 2026-01-21 18:03:21,363 ] 65 root - INFO - Performed train test split on the dataframe
[ 2026-01-21 18:03:21,363 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2026-01-21 18:03:21,364 ] 75 root - INFO - Exporting train and test file path.
[ 2026-01-21 18:03:21,396 ] 84 root - INFO - Exported train and test file path.
[ 2026-01-21 18:03:21,396 ] 22 root - INFO - Data Initiation Completed
[ 2026-01-21 18:03:21,401 ] 26 root - INFO - Initiate the data Validation
[ 2026-01-21 18:03:21,415 ] 32 root - INFO - Required number of columns:2
[ 2026-01-21 18:03:21,415 ] 33 root - INFO - Data frame has columns:31
[ 2026-01-21 18:03:21,415 ] 32 root - INFO - Required number of columns:2
[ 2026-01-21 18:03:21,415 ] 33 root - INFO - Data frame has columns:31
[ 2026-01-21 18:03:21,503 ] 28 root - INFO - data Validation Completed
[ 2026-01-21 18:03:21,503 ] 31 root - INFO - data Transformation started
[ 2026-01-21 18:03:21,503 ] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2026-01-21 18:03:21,503 ] 65 root - INFO - Starting data transformation
[ 2026-01-21 18:03:21,514 ] 48 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2026-01-21 18:03:21,514 ] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2026-01-21 18:03:21,519 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2026-01-21 18:03:21,521 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2026-01-21 18:03:21,521 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2026-01-21 18:03:21,522 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2026-01-21 18:03:21,523 ] 35 root - INFO - data Transformation completed
[ 2026-01-21 18:03:21,523 ] 37 root - INFO - Model Training sstared
